"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CFTR",23.8979957137991,2.31347061350383,0.247356980412287,9.35276057157478,8.53893770384883e-21,3.94478941644864e-20
"CGB7",1.25969370914362,-2.35588308778912,0.558768907651596,-4.21620289806472,2.48450239805551e-05,4.48723621603551e-05
"CHD1",74.3155780900156,2.18970920732688,0.117077382078912,18.7030933596634,4.67144188507779e-78,8.28545927725676e-77
"CHD6",71.991652307776,2.14053451592989,0.0785688483267966,27.2440612471068,1.95416669323118e-163,1.0324743391526e-161
"CHD7",38.4647835120261,2.11890317484887,0.0793132036004212,26.7156422721729,3.09767480955528e-157,1.51402640121749e-155
"CHD9",103.843593740111,3.58357102602551,0.0583639026737085,61.4004695001286,0,0
"CHL1",23.4783463991231,2.3656362174261,0.219687449996513,10.7681900694084,4.86470177261586e-27,2.88745451337425e-26
"CHML",15.5286310124729,3.12416079199145,0.117833860328875,26.5132686247561,6.8150174210264e-155,3.21570240259438e-153
"CHRDL2",6.10072577285783,-2.07168374844232,0.462949386377449,-4.4749681269763,7.64227121940535e-06,1.43429993304787e-05
"CLDN9",0.914964239284704,-2.33246932781209,0.540522873587499,-4.31520929416229,1.59451760397649e-05,2.92597977836214e-05
"CLOCK",39.6020120688678,2.15368178977309,0.073810082089882,29.1786938693613,3.61439030020445e-187,2.42115743100749e-185
"CNTLN",17.799455882178,2.23551130200952,0.0986906128525829,22.651711620727,1.34195771920041e-113,3.81365067738678e-112
"CNTN1",7.36511556175372,2.02223458087029,0.192092058315975,10.5274241871254,6.45773927481344e-26,3.68015107552509e-25
"COBLL1",85.8762383777948,2.05468874271557,0.117215722774841,17.529122323141,8.58849332198556e-69,1.30700144316829e-67
"COL25A1",2.78772207368653,2.65620381228763,0.474367739290997,5.59946132984859,2.1501888939974e-08,4.87438953836396e-08
"CPEB3",7.10795796352583,2.17977815544585,0.140753589532281,15.4864835965405,4.28072314496112e-54,5.08568889866521e-53
"CPEB4",53.9291775511476,2.92107729059111,0.116644846104562,25.0424891295463,2.10782869552545e-138,7.9467260242109e-137
"CPLX1",8.74089613993755,-2.93856693894781,0.385693234484709,-7.61892269869283,2.55801586887043e-14,8.34413654617408e-14
"CR1",21.1288217157522,2.58409320203527,0.274148190995181,9.42589915568945,4.26436034982389e-21,1.99958522028461e-20
"CREBRF",53.0910222216531,2.64951973654551,0.0989187376717379,26.7848114412655,4.85673951522826e-158,2.39721632980263e-156
"CRYBG3",85.7184732053582,2.82378048890831,0.0682576464339848,41.3694382451249,0,0
"CSRNP3",4.95604095863086,2.8266122963816,0.185392820505041,15.2466114312379,1.73401515640146e-52,1.99225860810137e-51
"CTRL",1.81262886315919,-2.43292120229956,0.532296881756413,-4.57060953329592,4.86307656895507e-06,9.28377403526346e-06
"CTXN1",2.33997012484143,-2.77064670285725,0.580992067471931,-4.76882019218121,1.85307961887394e-06,3.65476599384903e-06
"CUL5",34.3769628699006,2.11072142974721,0.0726788485309879,29.0417566102092,1.95564589640362e-185,1.30419851891272e-183
"CXADR",19.4291574765574,2.65454732456162,0.159867115062353,16.6047115038403,6.44291622437566e-62,8.74895547029473e-61
"CYP7B1",7.91936790038521,3.48425254184066,0.169532035893293,20.5521777844614,7.35868331129867e-94,1.64066928805404e-92
"DCP2",48.1597804354325,2.27264671757476,0.0766470875719341,29.6507902592105,3.31291046792848e-193,2.3229075500592e-191
"DENND1B",18.389294254092,3.02287469296987,0.11443590838129,26.4154384382384,9.10881267259909e-154,4.25787333807942e-152
"DENND4A",60.086773003349,2.44445999745815,0.0733245683431298,33.3375300079375,1.10445409568332e-243,1.13509134970741e-241
"DENND4C",74.4089615738071,3.26351358232556,0.0904138338185814,36.0952903387984,2.68865042028443e-285,3.80596222229886e-283
"DGKH",61.5335775736842,2.5305688424106,0.100958254560025,25.0654971546289,1.18329157568651e-138,4.50641880537464e-137
"DICER1",92.5132546127328,2.9372778716394,0.0505519553704888,58.1041395948478,0,0
"DMD",49.9644699502861,2.87203225847295,0.117434361788891,24.4564896911172,4.2927876963069e-132,1.49104813386771e-130
"DMPK",88.935016382928,-2.0868227885202,0.152511886281284,-13.6830173660785,1.2825795438863e-42,1.19238575316072e-41
"DMXL1",65.2859880426772,3.30356839838198,0.0565220609740437,58.4474157780456,0,0
"DMXL2",79.0343229402848,2.88344409673862,0.130749419324018,22.0532076673548,8.89874916053931e-108,2.40586902979986e-106
"DNAH11",17.1477175797643,2.81682295773711,0.321424143392749,8.7635699297648,1.89162473135701e-18,7.76787878872793e-18
